specObjID,ra,dec,data['z'],zErr,velocity,distance_Mpc,distance_ly
9.41597E+18,155.8918,41.096088,1.981616,0.00015084,594072.6239,8486.75177,27666810769
9.4938E+18,225.19231,49.688151,1.981599,0.276321,594067.5274,8486.678963,27666573419
1.23006E+19,231.8427,33.232847,1.981582,0.08750213,594062.4309,8486.606156,27666336070
1.03742E+19,345.82317,-0.72430297,1.981335,0.00099622,593988.3823,8485.548319,27662887519
1.27556E+19,329.05335,4.3246704,1.981329,0.000724283,593986.5836,8485.522622,27662803749
1.27272E+19,339.46974,5.5447803,1.980455,0.000659396,593724.5654,8481.779505,27650601187
1.15439E+19,198.66018,32.928363,1.980428,0.001664204,593716.471,8481.663871,27650224220
1.17929E+19,163.05867,26.512436,1.980321,0.000250593,593684.3932,8481.205618,27648730313
8.62338E+18,31.335601,26.265977,1.980297,0.000168979,593677.1982,8481.102832,27648395232
9.89782E+18,22.95569,-0.91098785,1.980225,0.240689,593655.6132,8480.794474,27647389986
1.23151E+19,222.83777,32.204922,1.980214,34.52755,593652.3155,8480.747364,27647236407
9.23036E+18,140.02296,59.572075,1.97999,0.000898766,593585.1621,8479.78803,27644108977
9.57822E+18,236.01738,46.500339,1.979817,0.000512332,593533.2981,8479.047115,27641693596
1.24525E+19,24.125405,13.078274,1.979777,9.81E-05,593521.3064,8478.875805,27641135126
1.02919E+19,322.14011,-1.3956479,1.979747,0.001173604,593512.3126,8478.747323,27640716274
8.89703E+18,5.96333,-3.2615364,1.979591,2.719374,593465.5451,8478.079215,27638538242
8.71343E+18,31.315929,28.212095,1.97959,0.00012637,593465.2453,8478.074933,27638524280
1.06366E+19,8.983462,4.8323067,1.979564,0.000338861,593457.4507,8477.963581,27638161275
8.15172E+18,21.662862,22.719786,1.979531,2.113355,593447.5576,8477.822251,27637700537
9.49135E+18,233.73065,48.482653,1.979525,0.2116906,593445.7588,8477.796554,27637616767
8.86652E+18,18.318373,-2.5957494,1.979032,0.00027786,593297.9613,8475.685162,27630733628
8.32401E+18,166.4279,46.728109,1.978907,3.663984,593260.4873,8475.149819,27628988411
1.02952E+19,329.92487,-0.84388386,1.978884,0.000492597,593253.5921,8475.051316,27628667291
8.81247E+18,36.863702,2.0300303,1.978842,2.019304,593241.0009,8474.871441,27628080897
9.96438E+18,165.61883,38.63714,1.978808,0.00072174,593230.8079,8474.725828,27627606198
1.05239E+19,6.251804,-1.9293838,1.978331,0.000657014,593087.8072,8472.682959,27620946447
9.45552E+18,217.57258,57.621723,1.978205,0.08921885,593050.0334,8472.143334,27619187268
1.03573E+19,356.33242,1.3492175,1.978194,0.000796517,593046.7356,8472.096224,27619033689
8.66727E+18,355.56962,28.236561,1.978186,0.4088057,593044.3373,8472.061962,27618921995
1.27049E+19,354.99865,5.4931016,1.97818,0.1318909,593042.5386,8472.036265,27618838224
8.21596E+18,144.19313,50.779263,1.978172,0.02793978,593040.1402,8472.002003,27618726530
1.20833E+19,240.96789,38.846234,1.978156,8.30E-05,593035.3436,8471.933479,27618503143
8.56149E+18,350.32142,19.789139,1.978149,0.000787114,593033.245,8471.9035,27618405410
1.08223E+19,126.35918,26.7435,1.978118,0.000620957,593023.9515,8471.770735,27617972596
1.20844E+19,242.87662,36.498221,1.977856,0.000532635,592945.406,8470.648656,27614314620
1.27825E+19,157.50256,28.206454,1.977557,0.000420227,592855.7681,8469.368116,27610140059
1.21182E+19,257.70577,39.222603,1.97751,0.5499404,592841.6779,8469.166827,27609483857
1.08133E+19,133.12643,26.651062,1.977274,0.000660542,592770.927,8468.1561,27606188886
8.68077E+18,337.16831,31.24057,1.977029,0.000616043,592697.478,8467.106828,27602768260
1.081E+19,128.21633,23.641165,1.976774,0.670538,592621.031,8466.014729,27599208016
1.27262E+19,345.39066,4.7391864,1.976162,0.001095655,592437.5583,8463.39369,27590663430
1.04891E+19,31.700049,-1.510907,1.976123,0.3275886,592425.8664,8463.226663,27590118922
9.15145E+18,35.461848,-3.886461,1.976116,0.000428426,592423.7679,8463.196684,27590021189
8.59858E+18,28.681076,22.700499,1.976075,2.217361,592411.4764,8463.021091,27589448758
1.06071E+19,37.528999,1.6868858,1.97605,0.000779117,592403.9816,8462.914023,27589099715
8.62906E+18,1.6457407,26.945694,1.975999,0.000911795,592388.6922,8462.695603,27588387666
9.24386E+18,200.52432,51.098755,1.975861,0.001403368,592347.3209,8462.104584,27586460945
1.31765E+19,147.1315,25.635805,1.975778,0.000652084,592322.4382,8461.749117,27585302121
1.03932E+19,327.43111,-0.34916299,1.975691,0.00042662,592296.3563,8461.376518,27584087449
1.15474E+19,204.55143,35.945118,1.97563,0.001647527,592278.069,8461.115271,27583235783
9.32145E+18,125.21912,43.728039,1.975429,0.1479255,592217.8108,8460.25444,27580429473
8.81022E+18,40.043414,-1.0828574,1.975081,0.001596846,592113.4832,8458.764045,27575570787
8.84523E+18,9.4976211,2.9051874,1.974843,0.00196118,592042.1327,8457.744752,27572247892
1.31202E+19,256.38103,30.890292,1.974808,0.000707644,592031.6399,8457.594856,27571759231
8.73825E+18,353.0467,31.117058,1.974804,0.001071366,592030.4408,8457.577725,27571703384
9.45434E+18,225.81153,51.884933,1.974652,0.000865231,591984.8724,8456.926748,27569581200
9.93852E+18,127.16912,40.403985,1.974622,0.000895244,591975.8786,8456.798266,27569162347
1.25067E+19,125.23826,21.94624,1.974305,0.000413171,591880.8446,8455.440637,27564736475
8.23055E+18,127.63423,50.762385,1.97423,0.000958094,591858.3602,8455.119431,27563689345
9.5838E+18,233.9376,42.672794,1.974184,0.000759747,591844.5697,8454.922425,27563047104
4.94854E+18,34.380616,-7.5855849,1.974118,0.000492662,591824.7835,8454.639764,27562125630
1.0792E+19,143.62013,15.561315,1.974055,0.000770831,591805.8966,8454.369951,27561246040
1.24683E+19,19.933388,10.892215,1.973968,0.001094679,591779.8147,8453.997352,27560031368
9.41264E+18,165.91006,42.906488,1.973795,0.000419006,591727.9506,8453.256438,27557615987
8.5503E+18,2.3254636,20.965652,1.973639,0.000743963,591681.1831,8452.58833,27555437955
8.3081E+18,120.90298,45.065593,1.973546,0.000882374,591653.3024,8452.190035,27554139513
1.28218E+19,169.66149,30.35202,1.97323,0.000913673,591558.5682,8450.836688,27549727603
8.60206E+18,328.94312,25.150911,1.973216,0.000352303,591554.3711,8450.77673,27549532138
8.87214E+18,40.435549,-5.232801,1.973195,0.001731977,591548.0754,8450.686792,27549238942
9.59287E+18,229.21829,43.098674,1.973133,0.000884265,591529.4883,8450.421262,27548373314
9.25179E+18,194.7329,55.290686,1.973123,0.001251472,591526.4904,8450.378435,27548233697
8.36233E+18,184.22664,46.489082,1.973095,0.002207289,591518.0962,8450.258518,27547842768
1.24525E+19,23.53588,14.081851,1.972974,0.000486615,591481.8214,8449.740306,27546153397
1.07929E+19,145.63903,14.020699,1.972936,0.001352708,591470.4293,8449.577562,27545622851
9.98913E+18,176.49838,37.03089,1.972819,0.000735868,591435.3536,8449.076481,27543989327
8.86655E+18,17.896518,-2.3560245,1.972815,0.000519227,591434.1545,8449.05935,27543933480
8.55571E+18,358.34249,18.218535,1.972733,0.000458592,591409.5715,8448.708165,27542788617
1.24381E+19,11.94115,9.6985789,1.972681,0.001535585,591393.9824,8448.485462,27542062607
1.05139E+19,12.757776,-3.5991002,1.972631,0.000734009,591378.9928,8448.271325,27541364520
1.15328E+19,140.05824,35.443626,1.9726,0.000383808,591369.6992,8448.13856,27540931706
8.68758E+18,9.4149951,33.630595,1.972526,0.000917575,591347.5146,8447.821637,27539898537
1.0319E+19,327.3305,2.0920803,1.972522,0.000792367,591346.3154,8447.804506,27539842690
1.05149E+19,13.122171,-3.9234182,1.97236,0.000683775,591297.7491,8447.110702,27537580888
9.84164E+18,357.88017,4.6561328,1.972357,0.001052015,591296.8497,8447.097853,27537539002
8.19321E+18,129.199,53.762116,1.972326,0.000627126,591287.5562,8446.965088,27537106188
8.72481E+18,0.687405,31.919796,1.972057,0.000311595,591206.9121,8445.813031,27533350480
1.03788E+19,342.17399,-0.70541196,1.972027,9.49E-05,591197.9184,8445.684548,27532931628
1.08381E+19,152.34142,26.212893,1.972,0.02748622,591189.824,8445.568914,27532554661
1.08402E+19,150.67089,26.028489,1.971974,0.001613708,591182.0294,8445.457563,27532191655
8.57053E+18,344.98498,21.151773,1.971962,0.000861653,591178.4319,8445.40617,27532024114
1.28174E+19,159.21738,31.581091,1.971938,0.00066837,591171.2369,8445.303384,27531689033
9.41937E+18,164.92304,40.980337,1.971813,0.00117801,591133.7629,8444.768041,27529943815
9.99591E+18,208.09165,36.193966,1.971584,0.000559612,591065.1105,8443.787293,27526746576
4.93934E+18,37.095437,-5.3266969,1.971549,0.000580243,591054.6178,8443.637397,27526257915
9.96432E+18,165.93977,37.128598,1.971527,0.000864593,591048.0224,8443.543177,27525950757
9.076E+18,246.02828,52.804838,1.971452,0.001043372,591025.538,8443.221971,27524903626
1.20956E+19,230.89471,37.182848,1.971424,0.000259648,591017.1438,8443.102054,27524512697
1.04969E+19,33.806116,-2.549794,1.971361,0.001675874,590998.2569,8442.832242,27523633108
9.26176E+18,183.78893,50.149664,1.971339,0.000459103,590991.6615,8442.738021,27523325949
9.9532E+18,183.49528,40.260466,1.97133,0.1653563,590988.9634,8442.699477,27523200294
1.21068E+19,218.97511,37.452887,1.97132,0.2381829,590985.9654,8442.656649,27523060676
8.7101E+18,27.319019,29.68889,1.971312,4.60E-05,590983.5671,8442.622387,27522948982
4.86078E+18,332.12152,4.7736966,1.971114,0.000738362,590924.2083,8441.774404,27520184557
8.65271E+18,22.287642,27.234403,1.971086,0.000689557,590915.8141,8441.654487,27519793629
8.72477E+18,359.72945,31.872383,1.970924,0.000635997,590867.2478,8440.960683,27517531826
1.07557E+19,143.2736,17.521621,1.970763,0.001646904,590818.9813,8440.271161,27515283986
9.32926E+18,148.58231,43.047381,1.970684,0.002135468,590795.2977,8439.932825,27514181008
1.30989E+19,339.31142,32.513178,1.970665,0.1830081,590789.6017,8439.851453,27513915735
1.27364E+19,5.8412423,9.7610098,1.969964,0.4446882,590579.4475,8436.84925,27504128554
8.19789E+18,121.97567,56.217115,1.969949,4.90E-05,590574.9506,8436.785009,27503919128
1.15292E+19,138.36118,33.183079,1.969778,0.000807113,590523.6862,8436.05266,27501531670
1.17883E+19,161.1961,26.306297,1.969694,0.000903959,590498.5036,8435.692909,27500358884
1.0802E+19,129.83898,21.685363,1.96957,0.001753348,590461.3294,8435.161849,27498627628
8.63136E+18,359.74838,25.95534,1.969522,0.000330433,590446.9394,8434.956277,27497957465
1.0489E+19,31.785053,-2.86237,1.969472,0.000903615,590431.9498,8434.74214,27497259378
1.0604E+19,40.403446,4.5133813,1.969428,0.000966288,590418.759,8434.5537,27496645061
8.59071E+18,18.166685,20.0437,1.969292,0.9441524,590377.9873,8433.971247,27494746264
1.05274E+19,9.7044501,-0.64606801,1.969287,0.09243505,590376.4883,8433.949833,27494676455
1.05329E+19,121.30035,34.587199,1.969252,0.000243371,590365.9956,8433.799937,27494187794
1.03146E+19,319.92438,2.3230664,1.969251,0.5771657,590365.6958,8433.795654,27494173833
1.22837E+19,245.99228,34.631133,1.969169,0.000415121,590341.1128,8433.444469,27493028970
9.94412E+18,141.77308,39.679889,1.969169,0.000338092,590341.1128,8433.444469,27493028970
1.06354E+19,9.038036,3.9377211,1.969047,0.001157561,590304.5382,8432.921975,27491325637
8.57041E+18,345.77341,20.269654,1.968921,0.001405947,590266.7644,8432.382349,27489566458
